repo_id,robot_type,total_episodes,total_frames,camera_keys
villekuosmanen/dAgger_coffee_prop_2.2.0,arx5,40,15555,"observation.images.front,observation.images.wrist"
ad330/so100_box_pickPlace,so100,50,29950,"observation.images.laptop,observation.images.phone"
villekuosmanen/dAgger_coffee_prop_2.3.0,arx5,40,15838,"observation.images.front,observation.images.wrist"
villekuosmanen/dAgger_coffee_prop_2.4.0,arx5,40,15128,"observation.images.front,observation.images.wrist"
villekuosmanen/fold_teat_towel_desk,arx5,30,45662,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
raidavid/test,so100,12,6835,"observation.images.laptop,observation.images.phone"
rgarreta/koch_pick_place_lego,koch,50,12821,"observation.images.laptop,observation.images.phone"
shin1107/koch_train_block,koch,50,39125,"observation.images.top,observation.images.front"
Beegbrain/so100_put_cube_cup,so100,50,10778,"observation.images.realsense_side,observation.images.realsense_top"
aractingi/push_green_cube_hf,so100,20,8121,"observation.images.laptop,observation.images.phone"
aractingi/push_green_cube_hf_cropped_resized,so100,20,8121,"observation.images.laptop,observation.images.phone"
TrossenRoboticsCommunity/aloha_fold_tshirt,aloha,21,24918,"observation.images.cam_low,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
rgarreta/koch_pick_place_lego_v2,koch,50,15901,"observation.images.laptop,observation.images.phone"
dragon-95/so100_sorting_2,so100,220,169922,"observation.images.laptop,observation.images.phone"
yaotot/studytable_open_drawer,,50,22079,"observation.image.camera1_img,observation.image.camera2_img,observation.image.camera3_img"
maizi2023/so100_test,so100,50,13551,"observation.images.laptop,observation.images.phone"
TrossenRoboticsCommunity/aloha_ai_block,aloha,10,2226,"observation.images.cam_high,observation.images.cam_low,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
1g0rrr/screw1,moss,24,6520,"observation.images.laptop,observation.images.phone"
ncavallo/moss_train_grasp,moss,43,23450,"observation.images.top,observation.images.front"
villekuosmanen/manipulate_glasses,arx5,30,16382,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
relaxedandcalm/mcx_v2_test,mcx,40,17920,observation.images.first_cam
tlpss/pick-cb-dp-v1,,103,18996,"observation.image.camera_0,observation.image.camera_1"
villekuosmanen/agilex_close_glasses_box,arx5_bimanual,20,2695,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_messy_stack_tomatoes,arx5_bimanual,19,6268,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_staples_into_stapler,arx5_bimanual,20,8689,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_the_different_dice,arx5_bimanual,19,13036,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup_half,arx5_bimanual,19,10048,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pull_wet_wipe,arx5_bimanual,20,4953,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/insert_paper_towel,arx5,30,16009,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
villekuosmanen/stack_pepsi_cans,arx5,30,18280,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
carpit680/giraffe_task,so100,31,7583,observation.images.webcam
stevenbobo/so100_test_lego12,so100,10,3651,"observation.images.laptop,observation.images.phone"
dragon-95/so100_sorting_3,so100,200,95183,"observation.images.laptop,observation.images.phone"
lyhhan/so100_test,so100,12,9405,"observation.images.laptop,observation.images.phone"
ma3oun/rpi_squares_1,moss,150,19423,observation.images.laptop
reeced/so100_test_7,so100_ws,10,7044,"observation.images.laptop,observation.images.phone"
reeced/so100_test_10,so100_ws,20,7998,"observation.images.laptop,observation.images.phone"
ma3oun/rpi_squares_1_eval,moss,10,3831,observation.images.laptop
kaiyuwu010/so100_test_1,so100,20,9256,"observation.images.laptop,observation.images.phone"
carpit680/giraffe_sock_demo_1,so100,60,14280,observation.images.webcam
DimiSch/so100_terra_50_2,so100,34,81062,observation.images.realsense
carpit680/giraffe_sock_demo_2,so100,20,2860,observation.images.webcam
shin1107/koch_move_block_with_some_shapes,koch,60,17980,"observation.images.top,observation.images.front"
villekuosmanen/sort_coloured_pins,arx5,20,16267,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
villekuosmanen/open_close_zipper_bags,arx5,30,20474,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
KeWangRobotics/piper_test_2,piper,102,55954,"observation.images.wrist,observation.images.top"
villekuosmanen/agilex_airpods_on_second_layer,arx5_bimanual,26,18507,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_airpods_on_third_layer,arx5_bimanual,20,10828,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_arrange_fruits_by_size,arx5_bimanual,20,16930,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_arrange_word_2024,arx5_bimanual,10,14170,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_arrange_word_23,arx5_bimanual,10,11326,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_arrange_word_DEEP,arx5_bimanual,10,13731,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
rgarreta/koch_pick_place_lego_v3,koch,50,15214,"observation.images.laptop,observation.images.phone"
villekuosmanen/agilex_arrange_word_LEARNING,arx5_bimanual,10,13175,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_arrange_word_THU,arx5_bimanual,10,11425,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_arrange_word_TURING,arx5_bimanual,10,14270,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_choose_toy_by_color,arx5_bimanual,20,4861,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_choose_toy_by_size,arx5_bimanual,20,4931,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_clean_pour_water,arx5_bimanual,18,6775,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_close_laptop,arx5_bimanual,19,7019,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_close_the_book,arx5_bimanual,20,3005,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cocktail_sunset_coconut,arx5_bimanual,29,23327,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cocktail_sunset_ice,arx5_bimanual,30,19140,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cocktail_sunset_lemon,arx5_bimanual,29,15658,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cocktail_sunset_orange,arx5_bimanual,28,21196,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cocktail_sunset_pineapple,arx5_bimanual,30,20749,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cocktail_sunset_red,arx5_bimanual,30,23499,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_coffee_cup_left_PC,arx5_bimanual,20,8962,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_coffee_cup_left_to_left,arx5_bimanual,40,17278,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_coffee_cup_middle_to_left,arx5_bimanual,38,14636,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_coffee_cup_middle_to_right,arx5_bimanual,40,14388,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_coffee_cup_on_PC,arx5_bimanual,20,8454,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_coffee_cup_right_PC,arx5_bimanual,20,7994,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_coffee_cup_right_to_right,arx5_bimanual,39,15907,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_collect_litter,arx5_bimanual,20,14114,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_collect_pen,arx5_bimanual,20,12290,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_connect_charging_cable,arx5_bimanual,39,28603,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cover_laptop,arx5_bimanual,20,3448,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cover_mirror_jsh,arx5_bimanual,20,7153,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_cover_spary_lid,arx5_bimanual,20,5374,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_draw_char_A,arx5_bimanual,20,15210,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_draw_char_Z,arx5_bimanual,20,14852,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_draw_check_mark,arx5_bimanual,20,13256,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_draw_cross,arx5_bimanual,20,12339,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_draw_line,arx5_bimanual,20,9602,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_draw_rectangle,arx5_bimanual,20,19366,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_draw_triangle,arx5_bimanual,20,16438,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_exchange_cup_position,arx5_bimanual,19,9086,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_flip_bottle,arx5_bimanual,20,13729,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_flip_calendar_page,arx5_bimanual,20,6008,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_flowering_fake,arx5_bimanual,20,12759,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_flowering_fake_2,arx5_bimanual,20,9437,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_fold_towel,arx5_bimanual,20,19760,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_gather_paper_ball,arx5_bimanual,20,10988,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_get_cold_water,arx5_bimanual,20,15487,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_get_hot_water,arx5_bimanual,20,9983,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_grab_stick_into_bottle,arx5_bimanual,20,3982,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_hang_bag_on_hook,arx5_bimanual,20,4915,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_headphone_left_phone,arx5_bimanual,20,10187,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_hook_earring,arx5_bimanual,20,8779,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_hook_keys,arx5_bimanual,20,11723,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_insert_blue_shoe,arx5_bimanual,20,21919,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_insert_book_shelf,arx5_bimanual,20,6360,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_insert_cube_slot,arx5_bimanual,70,35000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_insert_pen_container,arx5_bimanual,20,6062,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_insert_phone_charger,arx5_bimanual,20,36367,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_kiwi_toward_upside_down_mouse,arx5_bimanual,20,3813,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_match_the_counter,arx5_bimanual,20,13326,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_math_cube_with_fruit_jsh,arx5_bimanual,20,6042,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_math_cube_with_rag_jsh,arx5_bimanual,20,3609,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_messy_pour_water,arx5_bimanual,20,8926,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_move_foam_mahjong_from_right_to_left,arx5_bimanual,20,6445,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_move_object_near_mirror,arx5_bimanual,20,3943,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_open_laptop,arx5_bimanual,20,8914,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pack_durant_shirt,arx5_bimanual,20,7106,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pack_nvidia_shirt,arx5_bimanual,19,11278,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pack_soccer_shirt,arx5_bimanual,20,8605,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_paper_on_second_layer,arx5_bimanual,26,15634,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_paper_on_third_layer,arx5_bimanual,20,13550,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_apple_into_bag,arx5_bimanual,19,3504,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_backpack_from_chair_to_desk,arx5_bimanual,20,3535,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_badminton,arx5_bimanual,20,4189,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_book_into_backpack,arx5_bimanual,20,6119,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
aractingi/push_cube_to_face_reward,so100,20,8447,"observation.images.front,observation.images.wrist"
aractingi/push_cube_to_face_reward_cropped_resized,so100,20,8447,"observation.images.front,observation.images.wrist"
villekuosmanen/agilex_pick_bottle_get_water,arx5_bimanual,50,30200,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_chips_to_box,arx5_bimanual,20,13646,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_different_doll,arx5_bimanual,20,4457,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_key_to_basket,arx5_bimanual,20,8961,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_kiwifruit_into_bag,arx5_bimanual,20,2988,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_larger_value,arx5_bimanual,18,11985,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_magiccube_into_bag,arx5_bimanual,20,4400,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_marker_pen_from_cup,arx5_bimanual,20,6638,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
aractingi/push_cube_reward_data,so100,20,5152,"observation.images.front,observation.images.wrist"
villekuosmanen/agilex_pick_mask,arx5_bimanual,20,10260,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_orange_into_bag,arx5_bimanual,20,3012,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
aractingi/push_cube_reward_data_cropped_resized,so100,20,5152,"observation.images.front,observation.images.wrist"
villekuosmanen/agilex_pick_out_clip,arx5_bimanual,20,23302,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_pen,arx5_bimanual,14,7106,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_pen_on_notebook,arx5_bimanual,20,6727,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_place_pineapple,arx5_bimanual,21,4650,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_place_ver_water_bottle,arx5_bimanual,20,7220,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
aractingi/push_cube_offline_data,so100,30,7892,"observation.images.front,observation.images.wrist"
aractingi/push_cube_offline_data_cropped_resized,so100,30,7892,"observation.images.front,observation.images.wrist"
villekuosmanen/agilex_pick_place_water_bottle,arx5_bimanual,50,13456,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_potato_chip_packaging_near_apple,arx5_bimanual,20,7661,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_power_bank,arx5_bimanual,20,12887,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_same_color_clip,arx5_bimanual,20,16189,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_tape_into_bag,arx5_bimanual,20,4451,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_tomato_to_desk,arx5_bimanual,20,8530,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pick_up_letter_c,arx5_bimanual,20,16977,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_place_cube_in_the_center,arx5_bimanual,20,10737,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_place_marker,arx5_bimanual,19,19290,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_place_object_on_mirror,arx5_bimanual,19,3710,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_place_octopus_upright,arx5_bimanual,20,8926,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_place_phone,arx5_bimanual,20,5736,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_playmahjong,arx5_bimanual,20,11890,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_plug_charger,arx5_bimanual,20,14459,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_clip_paper_box,arx5_bimanual,20,5755,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_4,arx5_bimanual,39,20410,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_5,arx5_bimanual,20,10357,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_6,arx5_bimanual,40,18731,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_between_cup,arx5_bimanual,20,6966,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_bottle2cup_clean,arx5_bimanual,20,7007,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_bottle2cup_mess,arx5_bimanual,20,7990,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_can2cup,arx5_bimanual,20,15568,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup2jigger2glass,arx5_bimanual,20,23368,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup_changing_light,arx5_bimanual,20,8525,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup_full,arx5_bimanual,19,11324,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup_little,arx5_bimanual,18,9289,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup_scene1,arx5_bimanual,20,5806,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup_scene2,arx5_bimanual,20,5001,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_cup_yellow_light,arx5_bimanual,20,8145,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_dark_2,arx5_bimanual,39,15587,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_dark_meeting_room,arx5_bimanual,18,4950,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_from_bottle_to_cup,arx5_bimanual,18,7407,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_g2k,arx5_bimanual,20,10077,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_glass_changing_light,arx5_bimanual,20,7026,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_jigger2cup,arx5_bimanual,20,14282,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_left_hand,arx5_bimanual,40,30284,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pour_water_meeting_room,arx5_bimanual,20,6333,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_press_alcohol_sanitizing,arx5_bimanual,18,8436,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_press_socket_button,arx5_bimanual,20,11124,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_press_stapler,arx5_bimanual,19,6076,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
RobotisSW/koch_test_500_episodes,koch,50,11682,"observation.images.laptop,observation.images.phone"
villekuosmanen/agilex_prop_bottle,arx5_bimanual,20,6742,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pull_chair,arx5_bimanual,20,2845,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_pull_paper_on_id_card_jsh,arx5_bimanual,20,3646,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
RobotisSW/koch_test_500_episodes_2,koch,500,83386,"observation.images.laptop,observation.images.phone"
pepijn223/mobile_so100_clean_trash_1,mobile_so100,50,29288,observation.images.mobile
aractingi/push_cube_front_side_reward,so100,20,3860,"observation.images.front,observation.images.side"
aractingi/push_cube_front_side_reward_cropped_resized,so100,20,3860,"observation.images.front,observation.images.side"
aractingi/push_cube_front_side_reward_long,so100,20,6894,"observation.images.front,observation.images.side"
aractingi/push_cube_front_side_reward_long_cropped_resized,so100,20,6894,"observation.images.front,observation.images.side"
aractingi/push_cube_reward,so100,10,3369,"observation.images.front,observation.images.side"
aractingi/push_cube_reward_cropped_resized,so100,10,3369,"observation.images.front,observation.images.side"
TrossenRoboticsCommunity/aloha_stationary_logo_assembly,aloha,20,6528,"observation.images.cam_high,observation.images.cam_low,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
bdharva/so100_long_test,so100,50,14780,"observation.images.low,observation.images.high"
aractingi/push_cube_square_reward_cropped_resized,so100,10,4151,"observation.images.front,observation.images.side"
aergogo/so100_pick_place,so100,15,6939,"observation.images.laptop,observation.images.phone"
villekuosmanen/agilex_pull_trash_can,arx5_bimanual,20,29962,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_push_add_chip,arx5_bimanual,18,9540,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_push_chair,arx5_bimanual,20,6814,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_push_container_back_to_chips_packaging,arx5_bimanual,20,7052,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_push_max_chip,arx5_bimanual,19,9135,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_push_min_chip,arx5_bimanual,19,9117,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/agilex_push_mirror,arx5_bimanual,20,9604,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
